poster_number,number_recommend,avg_node_distance,avg_node_distance_kw,avg_node_distance_wv,avg_node_distance_cv,avg_node_distance_le,avg_random
10452,2,1.9,2.4,2.4,2.4,1.8,3.0
10452,3,1.8,2.4,2.1,2.1,2.1,2.8
10452,4,1.7,2.4,1.8,1.7,1.7,3.0
10452,5,1.5,2.5,1.5,1.7,1.2,3.0
10452,6,1.7,2.4,1.8,2.3,1.7,2.9
10452,7,1.7,2.5,2.0,2.4,2.0,3.0
10452,8,1.6,2.5,2.0,2.4,2.1,3.0
10452,9,1.9,2.5,1.7,2.4,1.8,3.0
10452,10,1.6,2.5,1.6,2.7,1.5,2.9
3383,1,1.3,2.3,1.8,1.8,1.2,3.0
3383,2,0.8,2.0,1.2,1.4,0.7,3.0
3383,3,0.4,2.0,0.7,1.2,0.6,2.7
3383,4,0.5,2.6,1.1,0.6,0.7,2.6
3383,5,0.6,2.2,0.9,0.7,1.0,2.6
3383,6,0.6,1.3,1.2,0.8,0.9,2.3
3383,7,0.9,0.9,0.8,1.0,1.1,2.9
3383,8,0.8,0.9,0.8,1.0,1.0,2.8
3383,9,0.5,0.8,1.0,0.9,0.8,2.4
3383,10,0.4,0.8,1.0,0.7,0.5,2.4
9293,1,2.5,2.1,2.1,2.4,1.9,2.3
9293,2,2.0,2.5,1.3,2.1,2.3,2.9
9293,3,1.9,2.7,1.9,2.1,1.7,2.5
9293,4,1.7,2.7,1.9,2.0,1.3,2.9
9293,5,1.1,2.4,1.7,1.4,1.6,2.8
9293,6,1.2,2.5,1.3,1.2,0.9,2.9
9293,7,1.0,2.7,1.1,1.1,1.0,2.8
9293,8,1.7,2.4,1.4,0.8,1.2,2.8
9293,9,1.1,2.4,1.1,0.8,1.4,3.0
9293,10,1.3,2.3,1.1,0.8,1.2,3.0
10618,1,1.8,2.6,1.4,1.7,1.9,2.8
10618,2,1.6,2.6,1.6,1.8,1.5,2.5
10618,3,1.4,2.9,1.5,1.2,1.2,2.7
10618,4,1.6,2.9,2.0,2.0,1.1,2.7
10618,5,1.6,2.7,1.6,1.4,1.0,2.6
10618,6,1.7,3.0,1.6,1.5,1.3,2.4
10618,7,1.6,2.9,1.4,1.5,1.1,2.4
10618,8,1.6,2.9,1.7,1.6,1.0,2.3
10618,9,1.4,2.9,1.8,1.5,1.0,2.8
10618,10,1.7,2.9,1.8,1.7,1.2,2.5
345,1,2.4,2.7,2.5,2.7,2.1,3.0
345,2,2.1,2.7,2.4,2.4,1.8,2.9
345,3,1.5,2.6,2.1,2.1,1.4,3.0
345,4,2.1,2.6,2.4,2.5,2.5,2.9
345,5,1.9,3.0,1.9,1.9,2.4,3.0
345,6,1.8,3.0,2.0,1.9,2.1,3.0
345,7,1.5,3.0,1.7,1.9,2.2,3.0
345,8,1.8,2.9,1.9,1.9,2.0,2.8
345,9,1.2,2.8,1.8,1.8,1.7,3.0
345,10,1.3,2.8,2.4,1.8,1.7,3.0
719,1,1.8,1.5,2.0,1.3,1.4,2.9
719,2,1.6,1.4,1.6,1.6,2.1,2.6
719,3,1.1,1.5,1.6,0.9,1.3,2.6
719,4,1.0,1.4,1.4,0.0,1.0,2.8
719,5,0.4,2.0,1.2,0.3,1.0,3.0
719,6,0.2,1.4,1.1,0.3,0.9,2.8
719,7,0.8,1.4,0.7,0.3,1.3,2.6
719,8,0.8,1.4,1.2,0.3,1.5,2.6
719,9,0.8,1.4,1.0,0.3,1.1,2.9
719,10,1.0,1.9,1.2,0.5,1.1,2.8
3081,1,0.8,1.6,0.8,0.9,1.1,2.5
3081,2,1.0,1.3,1.1,0.9,0.7,2.9
3081,3,0.7,1.3,0.9,0.7,0.8,2.7
3081,4,0.8,1.5,1.1,0.7,0.9,2.8
3081,5,0.8,1.3,1.1,1.0,0.8,2.6
3081,6,0.7,1.2,1.0,1.0,0.8,2.9
3081,7,0.7,1.2,1.0,0.8,0.7,2.5
3081,8,0.5,1.2,0.9,1.1,0.6,2.6
3081,9,0.5,0.9,1.0,1.5,0.8,2.7
3081,10,0.6,0.9,1.2,1.8,0.8,2.8
923,1,2.7,2.4,1.7,2.6,2.1,2.8
923,2,1.7,1.5,1.3,2.3,1.2,3.0
923,3,0.9,1.5,1.2,1.8,1.5,3.0
923,4,0.7,1.8,1.2,1.7,1.5,2.8
923,5,0.4,1.8,2.0,1.4,1.6,3.0
923,6,1.0,2.2,2.1,1.4,1.6,2.7
923,7,1.1,2.5,2.2,1.2,1.6,3.0
923,8,1.2,2.3,2.1,1.4,1.5,2.7
923,9,1.0,2.1,2.0,1.3,1.3,2.8
923,10,1.0,2.1,1.6,1.1,1.1,2.7
10096,1,2.2,2.5,2.4,2.5,2.4,2.6
10096,2,1.1,2.5,1.8,1.9,1.9,2.9
10096,3,0.7,2.4,1.5,1.5,1.4,2.6
10096,4,1.0,2.0,1.3,1.3,1.5,3.0
10096,5,1.1,2.5,1.0,1.1,0.9,2.8
10096,6,1.1,2.3,0.9,0.8,1.0,2.9
10096,7,1.1,2.5,1.0,1.1,1.3,2.6
10096,8,0.7,2.6,0.8,1.5,1.5,2.6
10096,9,1.0,2.6,0.6,1.4,1.4,2.6
10096,10,1.1,2.0,0.9,1.1,1.3,3.0
6370,1,1.9,1.1,1.7,2.3,2.1,2.5
6370,2,1.0,2.2,1.1,1.7,0.8,2.4
6370,3,0.9,1.1,1.5,1.3,0.6,2.9
6370,4,0.8,1.6,1.2,1.0,0.9,2.6
6370,5,0.5,2.4,1.2,1.0,0.8,2.5
6370,6,0.5,1.4,0.9,1.2,0.7,2.7
6370,7,0.2,0.7,0.7,0.6,0.1,2.8
6370,8,0.5,0.9,0.8,1.1,0.7,2.7
6370,9,0.1,0.2,0.7,1.0,0.4,2.7
6370,10,0.3,0.9,0.9,1.0,0.5,2.5
5302,1,1.1,2.3,1.3,1.4,1.2,2.7
5302,2,1.4,1.3,1.6,1.2,1.1,2.8
5302,3,0.8,1.9,2.0,1.0,0.6,2.9
5302,4,1.0,1.8,1.5,1.9,0.9,2.4
5302,5,0.7,1.5,1.3,1.9,0.4,2.8
5302,6,1.1,1.7,0.7,0.6,1.3,2.7
5302,7,0.8,2.0,1.1,0.5,0.9,3.0
5302,8,0.8,1.9,1.1,1.0,0.9,2.9
5302,9,1.0,1.4,1.2,1.1,0.6,2.6
5302,10,1.0,1.6,1.0,1.1,0.7,2.4
2960,1,1.6,2.4,2.0,0.8,0.9,3.0
2960,2,2.4,2.3,2.1,2.0,1.9,2.9
2960,3,2.2,2.4,2.4,1.9,2.1,2.7
2960,4,2.4,1.6,2.4,2.4,2.4,2.8
2960,5,2.1,2.2,1.9,3.0,2.2,2.9
2960,6,2.5,2.3,2.2,3.0,2.2,2.9
2960,7,1.8,2.6,1.4,3.0,2.1,2.9
2960,8,2.1,2.3,2.0,2.7,2.1,3.0
2960,9,1.9,2.3,2.0,1.9,1.9,3.0
2960,10,2.0,2.3,1.7,1.6,1.6,3.0
7129,1,2.0,2.5,2.2,1.8,1.8,2.7
7129,2,1.4,2.2,1.6,1.6,0.9,2.6
7129,3,1.6,1.8,1.5,1.7,1.0,2.7
7129,4,1.4,2.7,1.6,1.2,1.4,2.6
7129,5,1.1,2.0,1.6,1.6,1.2,2.8
7129,6,0.9,1.7,1.6,1.6,1.2,2.8
7129,7,1.0,1.7,1.5,1.3,1.3,2.5
7129,8,1.1,1.2,1.1,1.3,1.1,2.9
7129,9,0.9,1.6,1.1,1.2,0.9,2.9
7129,10,1.1,1.5,0.9,1.0,1.2,2.8
3199,1,0.8,2.0,0.5,1.0,1.1,2.8
3199,2,0.8,1.7,0.9,0.7,0.6,2.3
3199,3,0.6,1.6,1.0,0.7,0.5,2.8
3199,4,0.6,2.9,0.8,0.7,0.5,2.9
3199,5,0.5,2.6,0.6,0.6,0.8,2.9
3199,6,0.7,2.6,0.7,0.6,0.6,2.6
3199,7,0.7,1.3,0.6,0.6,0.9,2.8
3199,8,0.7,1.1,0.9,0.7,0.6,2.6
3199,9,0.6,1.1,0.8,0.7,0.5,2.7
3199,10,0.5,1.3,0.9,0.7,0.4,2.7
10748,1,1.9,2.0,2.0,2.4,2.2,2.5
10748,2,1.3,0.8,1.8,1.5,0.9,2.8
10748,3,1.3,2.2,1.8,1.5,1.3,2.5
10748,4,1.3,2.5,1.7,1.1,1.6,2.5
10748,5,1.1,1.8,1.4,1.3,1.2,2.4
10748,6,1.0,2.0,1.2,1.4,1.1,3.0
10748,7,1.2,2.3,1.6,1.3,1.2,2.5
10748,8,1.1,2.7,1.6,1.3,1.5,2.8
10748,9,1.2,2.6,1.3,1.6,1.7,2.5
10748,10,1.2,2.5,1.2,1.2,1.7,2.5
1778,1,1.0,2.2,1.4,1.3,0.7,2.8
1778,2,1.0,1.2,1.3,0.9,1.1,2.3
1778,3,0.9,1.3,1.7,0.7,1.0,2.7
1778,4,0.9,1.3,1.6,0.9,1.1,2.8
1778,5,0.8,1.1,1.5,0.8,0.8,2.7
1778,6,0.9,1.2,1.8,1.0,0.9,2.4
1778,7,0.7,1.3,1.9,0.8,0.8,2.9
1778,8,0.6,1.1,1.8,0.6,0.8,2.8
1778,9,0.9,1.3,1.5,0.9,0.8,2.9
1778,10,1.2,0.9,1.0,1.1,0.8,2.7
1661,1,1.3,0.9,2.1,2.6,1.5,3.0
1661,2,1.2,1.4,1.2,1.0,1.2,2.8
1661,3,1.1,1.4,1.3,0.7,0.9,2.9
1661,4,0.9,1.5,1.5,1.2,0.9,2.6
1661,5,0.9,1.4,1.9,1.0,0.9,2.8
1661,6,1.2,1.2,1.7,0.8,1.3,2.9
1661,7,1.2,1.7,1.8,1.2,1.1,2.9
1661,8,1.2,1.3,1.7,1.2,1.0,2.9
