poster_number,avg_node_distance,avg_node_distance_kw,avg_random,number_recommend
11295,0.4,0.5,2.2,2
11295,0.5,0.8,2.3,3
11295,0.5,0.8,2.4,4
11295,0.6,0.8,2.8,5
13112,2.3,2.7,3.0,1
13112,2.2,2.5,2.9,2
13112,1.5,2.2,3.0,3
13112,1.5,2.5,3.0,4
13112,1.2,2.7,2.9,5
9828,1.1,1.1,2.7,1
9828,1.1,1.7,2.9,2
9828,1.1,1.6,2.4,3
9828,1.0,1.7,2.8,4
9828,0.9,1.7,2.7,5
12979,2.2,1.9,2.3,1
12979,1.7,1.5,3.0,2
12979,2.0,1.5,2.6,3
12979,1.7,2.6,2.7,4
12979,1.2,2.4,2.8,5
475,2.1,2.7,2.9,1
475,1.0,1.9,2.7,2
475,1.5,2.3,2.5,3
475,0.7,2.0,2.6,4
475,0.9,2.6,2.9,5
5745,2.1,1.3,2.7,1
5745,0.7,0.9,2.9,2
5745,0.6,1.4,2.7,3
5745,0.9,1.2,2.7,4
5745,0.5,1.5,2.5,5
14517,3.0,3.0,2.9,1
14517,2.7,3.0,3.0,2
14517,2.2,3.0,2.6,3
14517,1.5,2.7,2.9,4
14517,1.2,2.6,2.6,5
11331,2.8,2.4,2.7,1
11331,2.3,3.0,2.5,2
11331,1.1,3.0,2.5,3
11331,0.9,3.0,2.3,4
11331,0.8,2.7,2.6,5
84,1.0,3.0,2.8,1
84,2.2,2.0,3.0,2
84,1.0,2.2,3.0,3
84,0.8,1.6,2.9,4
84,0.6,1.7,3.0,5
216,0.9,2.0,2.9,1
216,0.7,2.6,3.0,2
216,0.6,2.2,3.0,3
216,1.3,2.0,2.9,4
216,0.6,2.2,3.0,5
3449,3.0,3.0,3.0,1
3449,2.3,3.0,3.0,2
3449,1.6,3.0,2.9,3
3449,0.6,2.7,3.0,4
3449,1.0,3.0,2.8,5
11692,0.7,2.1,2.6,1
11692,0.6,1.5,2.9,2
11692,0.8,2.4,3.0,3
11692,0.8,1.9,3.0,4
11692,0.8,1.9,2.7,5
9542,2.7,1.6,2.8,1
9542,1.0,1.6,2.8,2
9542,0.7,2.0,2.9,3
9542,1.0,2.2,2.6,4
9542,1.0,2.3,2.5,5
2492,2.0,2.5,2.7,1
2492,1.3,2.7,2.6,2
