poster_number,distance,n_components
8579,1.9,50
11046,1.9,50
2105,3.0,50
1917,2.4,50
3032,2.3,50
12988,2.7,50
225,1.1,50
6045,1.6,50
14629,0.9,50
2821,2.1,50
8651,1.0,50
6457,3.0,50
6539,1.3,50
14640,3.0,50
9211,2.3,50
2100,2.1,50
625,1.9,50
3851,0.7,50
3761,2.8,50
8754,2.9,50
243,2.6,50
10400,2.6,50
3768,2.6,50
1020,1.6,50
4413,1.9,50
13645,1.3,50
10149,0.8,50
14165,2.1,50
1897,2.6,50
9789,1.0,50
13382,1.8,50
11531,1.2,50
6517,1.3,50
9566,2.0,50
5670,1.7,50
3439,2.7,50
10528,1.6,50
12749,3.0,50
530,0.8,50
10204,2.2,50
152,1.8,50
6670,1.9,50
4268,2.3,50
3002,1.8,50
3061,1.0,50
5430,2.0,50
1945,2.7,50
13852,0.4,50
5343,1.9,50
2454,1.8,50
7376,3.0,50
13048,2.3,50
1804,1.7,50
2929,1.3,50
6182,1.8,50
6471,1.8,50
2970,2.1,50
5184,0.6,50
5139,2.2,50
14521,2.7,50
57,2.9,50
14318,2.0,50
6695,0.2,50
4704,2.0,50
1958,2.5,50
4535,1.9,50
9066,0.8,50
3295,2.3,50
14647,1.9,50
10592,2.2,50
7204,1.6,50
12390,1.2,50
3807,1.4,50
4661,1.1,50
6207,2.3,50
2669,1.8,50
7090,2.4,50
2013,1.8,50
896,2.2,50
12246,0.7,50
929,2.0,50
1401,1.2,50
11255,3.0,50
12724,2.3,50
3245,0.5,50
3682,2.1,50
9318,1.6,50
11637,0.8,50
1570,1.0,50
6373,1.2,50
13964,1.1,50
9079,1.1,50
14598,1.8,50
8206,2.1,50
12572,0.3,50
10351,0.4,50
581,0.5,50
5823,3.0,50
9456,1.9,50
6517,1.3,50
10207,1.3,50
11950,1.1,50
7855,0.7,50
6900,2.4,50
8641,2.1,50
7845,3.0,50
2182,2.5,50
2974,1.8,50
3838,2.0,50
4009,1.6,50
7879,2.4,50
495,2.5,50
7074,1.0,50
3318,1.6,50
10054,0.4,50
4538,1.9,50
8349,2.4,50
769,2.4,50
7564,0.6,50
13842,2.8,50
4664,2.5,50
4479,2.5,50
8101,1.9,50
2685,1.5,50
14620,1.6,50
8020,1.2,50
9166,2.5,50
11434,2.5,50
10527,1.6,50
327,2.8,50
14277,2.3,50
4892,1.6,50
2932,0.9,50
13712,1.9,50
1716,1.5,50
8578,1.2,50
2765,1.8,50
12198,2.8,50
9801,2.0,50
13679,1.3,50
676,2.4,50
7328,1.4,50
754,0.9,50
36,2.0,50
10627,2.0,50
4189,1.1,50
11317,2.7,50
959,1.2,50
5342,2.0,50
2975,1.7,50
11681,2.9,50
6220,0.8,50
1224,1.2,50
13977,1.7,50
10064,1.1,50
13611,1.6,50
4520,1.5,50
7268,2.5,50
8179,1.8,50
12497,1.8,50
5298,2.3,50
6888,0.6,50
7280,2.5,50
8358,1.1,50
7232,3.0,50
7437,1.8,50
9969,2.0,50
5712,1.6,50
8318,1.6,50
190,1.6,50
3835,2.0,50
14636,2.0,50
9513,1.1,50
11547,0.5,50
8727,1.9,50
9456,1.9,50
1075,1.2,50
7509,2.4,50
997,1.9,50
5644,2.4,50
5259,2.3,50
14451,2.9,50
5275,2.6,50
12576,0.1,50
9042,1.7,50
9445,1.8,50
11582,2.0,50
1408,1.5,50
5452,2.5,50
1992,1.9,50
11727,0.6,50
13315,1.2,50
7360,1.8,50
3675,2.6,50
5633,2.8,50
3745,1.8,50
2005,2.2,50
3872,2.6,50
4315,0.8,50
6898,2.9,50
2918,1.8,50
12619,2.0,50
3671,2.3,50
11514,1.7,50
2947,3.0,50
3091,0.8,50
4126,1.5,50
13855,0.7,50
984,1.0,50
4966,1.3,50
8665,2.3,50
8648,2.9,50
14647,1.9,50
7531,3.0,50
1814,2.9,50
1198,2.8,50
8802,2.0,50
13097,1.7,50
5332,1.9,50
6884,2.2,50
13289,2.3,50
454,2.1,50
12285,2.7,50
12427,1.2,50
1157,2.8,50
3414,1.0,50
8597,2.8,50
9212,1.7,50
2645,1.6,50
1098,2.1,50
10721,2.0,50
2818,2.6,50
7871,1.1,50
10563,2.7,50
10484,1.7,50
3015,3.0,50
11032,1.9,50
9907,2.6,50
7659,1.6,50
13674,2.4,50
4287,1.0,50
11646,1.3,50
2522,2.7,50
1261,2.0,50
3894,2.7,50
13599,2.9,50
2151,1.5,50
14482,2.3,50
3926,2.2,50
4759,2.0,50
400,2.4,50
4781,1.3,50
2920,1.0,50
3776,1.2,50
7081,1.9,50
10176,2.7,50
12782,1.1,50
2694,1.0,50
14193,3.0,50
12555,2.2,50
3574,0.7,50
7739,2.5,50
9190,2.6,50
81,1.3,50
11581,1.0,50
1871,2.6,50
8012,2.7,50
7631,2.9,50
9466,1.0,50
1412,2.8,50
7515,2.2,50
4574,2.7,50
4040,2.6,50
8139,1.5,50
9874,1.0,50
4100,1.7,50
7665,1.3,50
11046,1.9,50
9595,2.1,50
10639,1.8,50
4414,3.0,50
10878,2.4,50
749,1.3,50
13302,1.1,50
13287,2.0,50
6962,1.5,50
8537,2.0,50
7366,2.8,50
10500,2.4,50
3027,2.3,50
12038,1.5,50
13195,1.7,50
5323,0.4,50
1900,1.1,50
5380,1.3,50
8765,2.5,50
10695,2.0,50
5034,0.9,50
12804,2.0,50
4245,2.7,50
5942,2.1,50
9706,2.3,50
11969,2.5,50
6185,1.6,50
6853,1.8,50
4078,1.1,50
121,2.9,50
13542,1.6,50
204,0.8,50
13074,2.9,50
13392,1.5,50
14332,0.8,50
4481,1.6,50
9770,1.6,50
4570,2.5,50
9577,1.4,50
4094,3.0,50
12716,2.9,50
8618,1.5,50
8982,2.1,50
9327,0.5,50
5443,2.0,50
14116,2.3,50
10524,2.3,50
811,2.6,50
10650,2.0,50
11697,1.6,50
4932,1.0,50
2831,0.8,50
2075,2.4,50
12567,0.7,50
3213,1.1,50
6734,1.2,50
925,2.2,50
5929,2.5,50
2431,2.4,50
14003,0.8,50
8034,2.1,50
13102,2.8,50
6284,1.8,50
8456,2.3,50
9602,2.3,50
13493,0.6,50
4651,1.5,50
4674,2.6,50
1863,1.6,50
6654,3.0,50
11968,1.8,50
12508,2.6,50
9508,1.6,50
1446,2.2,50
9309,2.9,50
10419,2.3,50
